period_id,project_id,baseline_budget,current_budget,actual_cost,committed_cost,forecast_cost,planned_cost_to_date,earned_value,budget_variance,budget_variance_pct,cost_variance,cpi,forecast_variance,burn_rate,remaining_budget
202604,2,2720000,2720000,1561000,368000,2959000,1485000,1410000,-239000,-8.8,-151000,0.903,-239000,98000,1159000
202605,2,2720000,2720000,1647000,593000,2959000,1578000,1491000,-239000,-8.8,-156000,0.905,-239000,97000,1073000
202606,2,2720000,2720000,1720000,442000,2959000,1667000,1599000,-239000,-8.8,-121000,0.93,-239000,96000,1000000
202607,2,2720000,2720000,1835000,402000,2959000,1760000,1720000,-239000,-8.8,-115000,0.937,-239000,97000,885000
202608,2,2720000,2720000,1965000,474000,2959000,1852000,1834000,-239000,-8.8,-131000,0.933,-239000,98000,755000
202609,2,2720000,2720000,2023000,316000,2959000,1942000,1922000,-239000,-8.8,-101000,0.95,-239000,96000,697000
202610,2,2720000,2720000,2098000,414000,2959000,2034000,2014000,-239000,-8.8,-84000,0.96,-239000,95000,622000
202611,2,2720000,2720000,2186000,209000,2959000,2124000,2102000,-239000,-8.8,-84000,0.962,-239000,95000,534000
202612,2,2720000,2720000,2219000,381000,2959000,2216000,2194000,-239000,-8.8,-25000,0.989,-239000,92000,501000
202501,3,2775000,2775000,0,1289000,3031000,0,0,-256000,-9.23,0,1.0,-256000,0,2775000
202502,3,2775000,2775000,0,1422000,3031000,0,0,-256000,-9.23,0,1.0,-256000,0,2775000
202503,3,2775000,2775000,0,785000,3031000,0,0,-256000,-9.23,0,1.0,-256000,0,2775000
202504,3,2775000,2775000,0,1534000,3031000,0,0,-256000,-9.23,0,1.0,-256000,0,2775000
202505,3,2775000,2775000,0,1627000,3031000,0,0,-256000,-9.23,0,1.0,-256000,0,2775000
202506,3,2775000,2775000,0,1491000,3031000,0,0,-256000,-9.23,0,1.0,-256000,0,2775000
202507,3,2775000,2775000,0,1110000,3031000,0,0,-256000,-9.23,0,1.0,-256000,0,2775000
202508,3,2775000,2775000,0,1033000,3031000,0,0,-256000,-9.23,0,1.0,-256000,0,2775000
202509,3,2775000,2775000,0,1610000,3031000,0,0,-256000,-9.23,0,1.0,-256000,0,2775000
202510,3,2775000,2775000,0,1253000,3031000,0,0,-256000,-9.23,0,1.0,-256000,0,2775000
202511,3,2775000,2775000,0,1241000,3031000,0,0,-256000,-9.23,0,1.0,-256000,0,2775000
202512,3,2775000,2775000,3000,1214000,3031000,4000,2000,-256000,-9.23,0,0.901,-256000,0,2772000
202601,3,2775000,2858000,82000,980000,3031000,112000,76000,-173000,-6.05,-6000,0.925,-173000,6000,2776000
202602,3,2775000,2858000,142000,1089000,3031000,211000,139000,-173000,-6.05,-3000,0.978,-173000,10000,2716000
202603,3,2775000,2858000,250000,1507000,3031000,320000,215000,-173000,-6.05,-35000,0.861,-173000,17000,2608000
202604,3,2775000,2858000,298000,1217000,3031000,425000,281000,-173000,-6.05,-17000,0.944,-173000,19000,2560000
202605,3,2775000,2858000,390000,678000,3031000,534000,346000,-173000,-6.05,-43000,0.889,-173000,23000,2468000
202606,3,2775000,2858000,495000,1337000,3031000,639000,430000,-173000,-6.05,-65000,0.869,-173000,27000,2363000
202607,3,2775000,2858000,533000,994000,3031000,748000,496000,-173000,-6.05,-37000,0.931,-173000,28000,2325000
202608,3,2775000,2858000,609000,821000,3031000,857000,570000,-173000,-6.05,-39000,0.936,-173000,30000,2249000
202609,3,2775000,2858000,672000,822000,3031000,962000,607000,-173000,-6.05,-65000,0.904,-173000,32000,2186000
202610,3,2775000,2858000,704000,1272000,3031000,1071000,670000,-173000,-6.05,-34000,0.951,-173000,32000,2154000
202611,3,2775000,2858000,881000,571000,3031000,1177000,760000,-173000,-6.05,-122000,0.862,-173000,38000,1977000
202612,3,2775000,2858000,838000,838000,3031000,1286000,819000,-173000,-6.05,-19000,0.978,-173000,35000,2020000
202501,4,1905000,1905000,0,1074000,2006000,0,0,-101000,-5.31,0,1.0,-101000,0,1905000
202502,4,1905000,1905000,0,996000,2006000,0,0,-101000,-5.31,0,1.0,-101000,0,1905000
202503,4,1905000,1905000,0,956000,2006000,0,0,-101000,-5.31,0,1.0,-101000,0,1905000
202504,4,1905000,1905000,0,1080000,2006000,0,0,-101000,-5.31,0,1.0,-101000,0,1905000
202505,4,1905000,1905000,0,883000,2006000,0,0,-101000,-5.31,0,1.0,-101000,0,1905000
202506,4,1905000,1905000,9000,1008000,2006000,10000,8000,-101000,-5.31,-1000,0.873,-101000,1000,1896000
202507,4,1905000,1905000,100000,593000,2006000,114000,86000,-101000,-5.31,-15000,0.854,-101000,14000,1805000
202508,4,1905000,1905000,182000,971000,2006000,217000,160000,-101000,-5.31,-23000,0.876,-101000,23000,1723000
202509,4,1905000,1905000,264000,579000,2006000,318000,234000,-101000,-5.31,-30000,0.888,-101000,29000,1641000
202510,4,1905000,1905000,370000,537000,2006000,421000,312000,-101000,-5.31,-58000,0.844,-101000,37000,1535000
202511,4,1905000,1905000,424000,740000,2006000,521000,389000,-101000,-5.31,-34000,0.919,-101000,39000,1481000
202512,4,1905000,1905000,544000,792000,2006000,625000,457000,-101000,-5.31,-87000,0.84,-101000,45000,1361000
202601,4,1905000,1905000,661000,617000,2006000,729000,584000,-101000,-5.31,-77000,0.884,-101000,51000,1244000
202602,4,1905000,1905000,737000,583000,2006000,822000,661000,-101000,-5.31,-75000,0.898,-101000,53000,1168000
202603,4,1905000,1905000,865000,483000,2006000,926000,766000,-101000,-5.31,-99000,0.885,-101000,58000,1040000
202604,4,1905000,1905000,973000,442000,2006000,1026000,870000,-101000,-5.31,-103000,0.894,-101000,61000,932000
202605,4,1905000,1905000,1089000,293000,2006000,1130000,984000,-101000,-5.31,-106000,0.903,-101000,64000,816000
202606,4,1905000,1905000,1143000,462000,2006000,1230000,1061000,-101000,-5.31,-82000,0.928,-101000,63000,762000
202607,4,1905000,1905000,1252000,352000,2006000,1334000,1180000,-101000,-5.31,-73000,0.942,-101000,66000,653000
202608,4,1905000,1905000,1402000,230000,2006000,1437000,1328000,-101000,-5.31,-74000,0.947,-101000,70000,503000
202609,4,1905000,1905000,1548000,194000,2006000,1537000,1446000,-101000,-5.31,-102000,0.934,-101000,74000,357000
202610,4,1905000,1905000,1580000,165000,2006000,1641000,1521000,-101000,-5.31,-59000,0.963,-101000,72000,325000
202611,4,1905000,1905000,1736000,69000,2006000,1741000,1643000,-101000,-5.31,-92000,0.947,-101000,75000,169000
202612,4,1905000,1905000,1828000,45000,2006000,1845000,1749000,-101000,-5.31,-78000,0.957,-101000,76000,77000
202501,5,4930000,4930000,0,2103000,4696000,0,0,234000,4.75,0,1.0,234000,0,4930000
202502,5,4930000,4930000,0,1680000,4696000,0,0,234000,4.75,0,1.0,234000,0,4930000
202503,5,4930000,4930000,0,2296000,4696000,0,0,234000,4.75,0,1.0,234000,0,4930000
202504,5,4930000,4930000,0,1902000,4696000,0,0,234000,4.75,0,1.0,234000,0,4930000
202505,5,4930000,4930000,0,1922000,4696000,0,0,234000,4.75,0,1.0,234000,0,4930000
202506,5,4930000,4930000,0,1398000,4696000,0,0,234000,4.75,0,1.0,234000,0,4930000
202507,5,4930000,4930000,0,1364000,4696000,0,0,234000,4.75,0,1.0,234000,0,4930000
202508,5,4930000,4930000,5000,1559000,4696000,6000,6000,234000,4.75,0,1.065,234000,1000,4925000
202509,5,4930000,4930000,167000,2203000,4696000,177000,176000,234000,4.75,9000,1.052,234000,19000,4763000
202510,5,4930000,4930000,358000,2133000,4696000,355000,349000,234000,4.75,-9000,0.976,234000,36000,4572000
202511,5,4930000,4930000,520000,2109000,4696000,526000,520000,234000,4.75,0,1.001,234000,47000,4410000
202512,5,4930000,4930000,716000,1552000,4696000,703000,706000,234000,4.75,-11000,0.985,234000,60000,4214000
202601,5,4930000,4930000,859000,1569000,4696000,881000,864000,234000,4.75,5000,1.005,234000,66000,4071000
202602,5,4930000,4930000,1016000,1482000,4696000,1041000,1017000,234000,4.75,1000,1.001,234000,73000,3914000
202603,5,4930000,4930000,1165000,1131000,4696000,1218000,1174000,234000,4.75,9000,1.008,234000,78000,3765000
202604,5,4930000,4930000,1281000,1401000,4696000,1390000,1366000,234000,4.75,85000,1.066,234000,80000,3649000
202605,5,4930000,4930000,1508000,1451000,4696000,1567000,1574000,234000,4.75,66000,1.044,234000,89000,3422000
202606,5,4930000,4930000,1715000,1157000,4696000,1739000,1728000,234000,4.75,13000,1.008,234000,95000,3215000
202607,5,4930000,4930000,1860000,975000,4696000,1916000,1926000,234000,4.75,66000,1.036,234000,98000,3070000
202608,5,4930000,4930000,1960000,1401000,4696000,2093000,2095000,234000,4.75,135000,1.069,234000,98000,2970000
202609,5,4930000,4930000,2324000,723000,4696000,2265000,2256000,234000,4.75,-68000,0.971,234000,111000,2606000
202610,5,4930000,4930000,2278000,1075000,4696000,2442000,2427000,234000,4.75,149000,1.066,234000,104000,2652000
202611,5,4930000,4930000,2393000,1106000,4696000,2614000,2547000,234000,4.75,154000,1.064,234000,104000,2537000
202612,5,4930000,4930000,2814000,509000,4696000,2791000,2732000,234000,4.75,-82000,0.971,234000,117000,2116000
202501,6,5189000,5189000,0,3107000,5749000,0,0,-560000,-10.79,0,1.0,-560000,0,5189000
202502,6,5189000,5189000,0,1514000,5749000,0,0,-560000,-10.79,0,1.0,-560000,0,5189000
202503,6,5189000,5189000,0,2343000,5749000,0,0,-560000,-10.79,0,1.0,-560000,0,5189000
202504,6,5189000,5189000,0,2659000,5749000,0,0,-560000,-10.79,0,1.0,-560000,0,5189000
202505,6,5189000,5189000,0,2770000,5749000,0,0,-560000,-10.79,0,1.0,-560000,0,5189000
202506,6,5189000,5189000,0,2233000,5749000,0,0,-560000,-10.79,0,1.0,-560000,0,5189000
202507,6,5189000,5189000,0,2714000,5749000,0,0,-560000,-10.79,0,1.0,-560000,0,5189000
202508,6,5189000,5189000,0,2244000,5749000,0,0,-560000,-10.79,0,1.0,-560000,0,5189000
202509,6,5189000,5189000,64000,2393000,5749000,56000,55000,-560000,-10.79,-9000,0.857,-560000,7000,5125000
202510,6,5189000,5189000,1044000,2073000,5749000,921000,902000,-560000,-10.79,-142000,0.864,-560000,104000,4145000
202511,6,5189000,5189000,1914000,1579000,5749000,1758000,1733000,-560000,-10.79,-181000,0.905,-560000,174000,3275000
202512,6,5189000,5189000,2947000,1155000,5749000,2622000,2531000,-560000,-10.79,-416000,0.859,-560000,246000,2242000
202601,6,5189000,5345000,3731000,716000,5749000,3487000,3384000,-404000,-7.56,-347000,0.907,-404000,287000,1613000
202602,6,5189000,5345000,5288000,228000,5749000,4268000,4199000,-404000,-7.56,-1089000,0.794,-404000,378000,57000
202603,6,5189000,5345000,6036000,0,6036000,5133000,4973000,-691000,-12.94,-1063000,0.824,-691000,402000,-691000
202604,6,5189000,5345000,6036000,0,6036000,5189000,5032000,-691000,-12.94,-1004000,0.834,-691000,377000,-691000
202605,6,5189000,5345000,6036000,0,6036000,5189000,4902000,-691000,-12.94,-1134000,0.812,-691000,355000,-691000
202606,6,5189000,5345000,6012000,0,6012000,5189000,5052000,-667000,-12.48,-960000,0.84,-667000,334000,-667000
202607,6,5189000,5345000,5445000,132000,5749000,5189000,4928000,-404000,-7.56,-517000,0.905,-404000,287000,-100000
202608,6,5189000,5345000,5681000,26000,5749000,5189000,5100000,-404000,-7.56,-581000,0.898,-404000,284000,-336000
202609,6,5189000,5345000,6036000,0,6036000,5189000,5003000,-691000,-12.94,-1033000,0.829,-691000,287000,-691000
202610,6,5189000,5345000,5529000,109000,5749000,5189000,4952000,-404000,-7.56,-577000,0.896,-404000,251000,-184000
202611,6,5189000,5345000,5946000,0,5946000,5189000,4931000,-601000,-11.25,-1015000,0.829,-601000,259000,-601000
202612,6,5189000,5345000,6036000,0,6036000,5189000,5139000,-691000,-12.94,-897000,0.851,-691000,252000,-691000
202501,7,15360000,15360000,14534000,204000,14984000,15360000,15125000,376000,2.45,592000,1.041,376000,14534000,826000
202502,7,15360000,15360000,13987000,379000,14984000,15360000,14868000,376000,2.45,882000,1.063,376000,6993000,1373000
202503,7,15360000,15360000,13924000,525000,14984000,15360000,14722000,376000,2.45,798000,1.057,376000,4641000,1436000
202504,7,15360000,15360000,14006000,382000,14984000,15360000,14753000,376000,2.45,747000,1.053,376000,3501000,1354000
202505,7,15360000,15360000,13707000,421000,14984000,15360000,14649000,376000,2.45,942000,1.069,376000,2741000,1653000
202506,7,15360000,15360000,13532000,533000,14984000,15360000,14448000,376000,2.45,916000,1.068,376000,2255000,1828000
202507,7,15360000,15360000,14798000,61000,14984000,15360000,14669000,376000,2.45,-130000,0.991,376000,2114000,562000
202508,7,15360000,15360000,14271000,249000,14984000,15360000,14578000,376000,2.45,307000,1.021,376000,1784000,1089000
202509,7,15360000,15360000,15096000,0,15096000,15360000,14845000,264000,1.72,-251000,0.983,264000,1677000,264000
202510,7,15360000,15360000,14888000,47000,14984000,15360000,15066000,376000,2.45,178000,1.012,376000,1489000,472000
202511,7,15360000,15360000,14779000,65000,14984000,15360000,15264000,376000,2.45,485000,1.033,376000,1344000,581000
202512,7,15360000,15360000,14786000,86000,14984000,15360000,15053000,376000,2.45,267000,1.018,376000,1232000,574000
202601,7,15360000,15360000,15123000,0,15123000,15360000,14939000,237000,1.55,-183000,0.988,237000,1163000,237000
202602,7,15360000,15360000,14167000,444000,14984000,15360000,14803000,376000,2.45,635000,1.045,376000,1012000,1193000
202603,7,15360000,15360000,15330000,0,15330000,15360000,14976000,30000,0.2,-354000,0.977,30000,1022000,30000
202604,7,15360000,15360000,14847000,43000,14984000,15360000,14437000,376000,2.45,-411000,0.972,376000,928000,513000
202605,7,15360000,15360000,14464000,224000,14984000,15360000,14453000,376000,2.45,-10000,0.999,376000,851000,896000
202606,7,15360000,15360000,13939000,371000,14984000,15360000,14771000,376000,2.45,832000,1.06,376000,774000,1421000
202607,7,15360000,15360000,14209000,344000,14984000,15360000,14803000,376000,2.45,594000,1.042,376000,748000,1151000
202608,7,15360000,15360000,14840000,75000,14984000,15360000,14544000,376000,2.45,-296000,0.98,376000,742000,520000
202609,7,15360000,15360000,14258000,376000,14984000,15360000,15215000,376000,2.45,957000,1.067,376000,679000,1102000
202610,7,15360000,15360000,14042000,313000,14984000,15360000,14604000,376000,2.45,562000,1.04,376000,638000,1318000
202611,7,15360000,15360000,14519000,166000,14984000,15360000,14630000,376000,2.45,111000,1.008,376000,631000,841000
202612,7,15360000,15360000,14431000,260000,14984000,15360000,15124000,376000,2.45,693000,1.048,376000,601000,929000
202501,8,7587000,7587000,0,3261000,8030000,0,0,-443000,-5.84,0,1.0,-443000,0,7587000
202502,8,7587000,7587000,0,3603000,8030000,0,0,-443000,-5.84,0,1.0,-443000,0,7587000
202503,8,7587000,7587000,86000,3003000,8030000,96000,78000,-443000,-5.84,-8000,0.905,-443000,29000,7501000
202504,8,7587000,7587000,382000,2354000,8030000,455000,356000,-443000,-5.84,-26000,0.932,-443000,95000,7205000
202505,8,7587000,7587000,702000,3019000,8030000,827000,653000,-443000,-5.84,-49000,0.93,-443000,140000,6885000
202506,8,7587000,7587000,1126000,2193000,8030000,1187000,961000,-443000,-5.84,-165000,0.853,-443000,188000,6461000
202507,8,7587000,7587000,1384000,3174000,8030000,1558000,1257000,-443000,-5.84,-127000,0.908,-443000,198000,6203000
202508,8,7587000,7587000,1626000,2573000,8030000,1930000,1527000,-443000,-5.84,-99000,0.939,-443000,203000,5961000
202509,8,7587000,7587000,2135000,1476000,8030000,2289000,1808000,-443000,-5.84,-327000,0.847,-443000,237000,5452000
202510,8,7587000,7587000,2230000,2603000,8030000,2661000,2093000,-443000,-5.84,-137000,0.939,-443000,223000,5357000
202511,8,7587000,7587000,2501000,2218000,8030000,3020000,2314000,-443000,-5.84,-186000,0.926,-443000,227000,5086000
202512,8,7587000,7587000,2996000,2578000,8030000,3392000,2557000,-443000,-5.84,-439000,0.854,-443000,250000,4591000
202601,8,7587000,7587000,3294000,1826000,8030000,3764000,2930000,-443000,-5.84,-364000,0.89,-443000,253000,4293000
202602,8,7587000,7587000,3558000,1945000,8030000,4099000,3114000,-443000,-5.84,-443000,0.875,-443000,254000,4029000
202603,8,7587000,7587000,3930000,1610000,8030000,4471000,3352000,-443000,-5.84,-578000,0.853,-443000,262000,3657000
202604,8,7587000,7587000,4468000,1293000,8030000,4830000,3987000,-443000,-5.84,-481000,0.892,-443000,279000,3119000
202605,8,7587000,7587000,5086000,1566000,8030000,5202000,4513000,-443000,-5.84,-573000,0.887,-443000,299000,2501000
202606,8,7587000,7587000,5515000,1381000,8030000,5561000,4889000,-443000,-5.84,-626000,0.886,-443000,306000,2072000
202607,8,7587000,7587000,5728000,600000,8030000,5933000,5240000,-443000,-5.84,-488000,0.915,-443000,301000,1859000
202608,8,7587000,7587000,6236000,716000,8030000,6305000,5648000,-443000,-5.84,-588000,0.906,-443000,312000,1351000
202609,8,7587000,7587000,6610000,578000,8030000,6664000,6144000,-443000,-5.84,-467000,0.929,-443000,315000,977000
202610,8,7587000,7587000,7029000,396000,8030000,7036000,6515000,-443000,-5.84,-514000,0.927,-443000,320000,558000
202611,8,7587000,7587000,7663000,194000,8030000,7395000,7160000,-443000,-5.84,-503000,0.934,-443000,333000,-76000
202612,8,7587000,7587000,8064000,0,8064000,7587000,7496000,-477000,-6.29,-569000,0.929,-477000,336000,-477000
202501,9,1442000,1442000,0,551000,1484000,0,0,-42000,-2.92,0,1.0,-42000,0,1442000
202502,9,1442000,1442000,0,539000,1484000,0,0,-42000,-2.92,0,1.0,-42000,0,1442000
202503,9,1442000,1442000,0,417000,1484000,0,0,-42000,-2.92,0,1.0,-42000,0,1442000
202504,9,1442000,1442000,0,812000,1484000,0,0,-42000,-2.92,0,1.0,-42000,0,1442000
202505,9,1442000,1442000,0,802000,1484000,0,0,-42000,-2.92,0,1.0,-42000,0,1442000
202506,9,1442000,1442000,0,683000,1484000,0,0,-42000,-2.92,0,1.0,-42000,0,1442000
202507,9,1442000,1442000,0,459000,1484000,0,0,-42000,-2.92,0,1.0,-42000,0,1442000
202508,9,1442000,1442000,0,562000,1484000,0,0,-42000,-2.92,0,1.0,-42000,0,1442000
202509,9,1442000,1442000,0,450000,1484000,0,0,-42000,-2.92,0,1.0,-42000,0,1442000
202510,9,1442000,1442000,0,416000,1484000,0,0,-42000,-2.92,0,1.0,-42000,0,1442000
202511,9,1442000,1442000,0,524000,1484000,0,0,-42000,-2.92,0,1.0,-42000,0,1442000
202512,9,1442000,1442000,0,504000,1484000,0,0,-42000,-2.92,0,1.0,-42000,0,1442000
202601,9,1442000,1442000,0,667000,1484000,0,0,-42000,-2.92,0,1.0,-42000,0,1442000
202602,9,1442000,1442000,6000,737000,1484000,7000,6000,-42000,-2.92,-1000,0.882,-42000,0,1436000
202603,9,1442000,1442000,57000,503000,1484000,57000,51000,-42000,-2.92,-6000,0.895,-42000,4000,1385000
202604,9,1442000,1442000,107000,357000,1484000,107000,97000,-42000,-2.92,-10000,0.907,-42000,7000,1335000
202605,9,1442000,1442000,160000,426000,1484000,157000,147000,-42000,-2.92,-13000,0.918,-42000,9000,1282000
202606,9,1442000,1442000,209000,487000,1484000,207000,193000,-42000,-2.92,-16000,0.922,-42000,12000,1233000
202607,9,1442000,1442000,272000,552000,1484000,258000,251000,-42000,-2.92,-21000,0.923,-42000,14000,1170000
202608,9,1442000,1442000,321000,573000,1484000,308000,304000,-42000,-2.92,-17000,0.948,-42000,16000,1121000
202609,9,1442000,1442000,363000,298000,1484000,358000,351000,-42000,-2.92,-12000,0.966,-42000,17000,1079000
202610,9,1442000,1442000,416000,348000,1484000,408000,400000,-42000,-2.92,-16000,0.962,-42000,19000,1026000
202611,9,1442000,1442000,462000,311000,1484000,458000,446000,-42000,-2.92,-16000,0.965,-42000,20000,980000
202612,9,1442000,1442000,520000,268000,1484000,509000,503000,-42000,-2.92,-16000,0.969,-42000,22000,922000
202501,10,7024000,7024000,0,2290000,7778000,0,0,-754000,-10.73,0,1.0,-754000,0,7024000
202502,10,7024000,7024000,258000,3843000,7778000,214000,210000,-754000,-10.73,-48000,0.814,-754000,129000,6766000
202503,10,7024000,7024000,579000,3435000,7778000,479000,458000,-754000,-10.73,-121000,0.791,-754000,193000,6445000
202504,10,7024000,7024000,866000,3560000,7778000,735000,699000,-754000,-10.73,-166000,0.808,-754000,216000,6158000
202505,10,7024000,7024000,1093000,3330000,7778000,1000000,972000,-754000,-10.73,-121000,0.889,-754000,219000,5931000
202506,10,7024000,7024000,1440000,2514000,7778000,1256000,1204000,-754000,-10.73,-236000,0.836,-754000,240000,5584000
202507,10,7024000,7024000,1645000,1667000,7778000,1521000,1504000,-754000,-10.73,-141000,0.915,-754000,235000,5379000
202508,10,7024000,7024000,1904000,2759000,7778000,1786000,1696000,-754000,-10.73,-209000,0.89,-754000,238000,5120000
202509,10,7024000,7024000,2150000,1896000,7778000,2042000,1949000,-754000,-10.73,-201000,0.906,-754000,239000,4874000
202510,10,7024000,7024000,2465000,2347000,7778000,2307000,2218000,-754000,-10.73,-248000,0.9,-754000,247000,4559000
202511,10,7024000,7024000,2812000,2142000,7778000,2564000,2513000,-754000,-10.73,-299000,0.894,-754000,256000,4212000
202512,10,7024000,7024000,3377000,1276000,7778000,2828000,2714000,-754000,-10.73,-663000,0.804,-754000,281000,3647000
202601,10,7024000,7235000,3800000,1386000,7778000,3093000,2981000,-543000,-7.51,-818000,0.785,-543000,292000,3435000
202602,10,7024000,7235000,3548000,1255000,7778000,3333000,3153000,-543000,-7.51,-395000,0.889,-543000,253000,3686000
202603,10,7024000,7235000,4318000,1803000,7778000,3597000,3465000,-543000,-7.51,-853000,0.802,-543000,288000,2917000
202604,10,7024000,7235000,4529000,843000,7778000,3854000,3645000,-543000,-7.51,-884000,0.805,-543000,283000,2706000
202605,10,7024000,7235000,4527000,927000,7778000,4119000,3969000,-543000,-7.51,-558000,0.877,-543000,266000,2708000
202606,10,7024000,7235000,4981000,1325000,7778000,4375000,4188000,-543000,-7.51,-793000,0.841,-543000,277000,2254000
202607,10,7024000,7235000,5375000,1157000,7778000,4640000,4526000,-543000,-7.51,-848000,0.842,-543000,283000,1860000
202608,10,7024000,7235000,6004000,875000,7778000,4905000,4805000,-543000,-7.51,-1199000,0.8,-543000,300000,1231000
202609,10,7024000,7235000,5614000,559000,7778000,5161000,4929000,-543000,-7.51,-686000,0.878,-543000,267000,1620000
202610,10,7024000,7235000,6549000,601000,7778000,5426000,5122000,-543000,-7.51,-1427000,0.782,-543000,298000,686000
202611,10,7024000,7235000,6134000,549000,7778000,5682000,5560000,-543000,-7.51,-574000,0.906,-543000,267000,1100000
202612,10,7024000,7235000,7110000,286000,7778000,5947000,5618000,-543000,-7.51,-1492000,0.79,-543000,296000,125000
202501,11,6200000,6200000,0,1524000,5853000,0,0,347000,5.6,0,1.0,347000,0,6200000
202502,11,6200000,6200000,0,2061000,5853000,0,0,347000,5.6,0,1.0,347000,0,6200000
202503,11,6200000,6200000,0,1897000,5853000,0,0,347000,5.6,0,1.0,347000,0,6200000
