period_id,project_id,planned_progress_pct,actual_progress_pct,planned_value,earned_value_schedule,planned_milestones,completed_milestones,overdue_milestones,forecast_finish_date,schedule_variance_pct,spi,milestone_completion_pct,schedule_delay_days,delivery_risk_flag
202603,4,48.6,40.2,926000,766000,10,8,2,2027-03-03,-8.39,0.827,80.0,44,Medium
202604,4,53.9,45.7,1026000,870000,11,9,2,2027-02-26,-8.19,0.848,81.8,39,Medium
202605,4,59.3,51.6,1130000,984000,12,10,2,2027-02-20,-7.66,0.871,83.3,33,Medium
202606,4,64.6,55.7,1230000,1061000,13,11,2,2027-02-22,-8.87,0.863,84.6,35,Medium
202607,4,70.0,61.9,1334000,1180000,14,12,2,2027-02-16,-8.07,0.885,85.7,29,Medium
202608,4,75.4,69.7,1437000,1328000,15,14,1,2027-02-06,-5.74,0.924,93.3,19,Low
202609,4,80.7,75.9,1537000,1446000,16,15,1,2027-02-02,-4.79,0.941,93.8,15,Low
202610,4,86.1,79.8,1641000,1521000,17,16,1,2027-02-05,-6.31,0.927,94.1,18,Low
202611,4,91.4,86.3,1741000,1643000,18,17,1,2027-02-01,-5.13,0.944,94.4,14,Low
202612,4,96.8,91.8,1845000,1749000,19,18,1,2027-01-31,-5.02,0.948,94.7,13,Low
202501,5,0,0,0,0,1,1,0,2028-01-11,0,0.994,100.0,2,Low
202502,5,0,0,0,0,1,1,0,2028-01-12,0,0.991,100.0,3,Low
202503,5,0,0,0,0,1,1,0,2028-01-22,0,0.965,100.0,13,Low
202504,5,0,0,0,0,1,1,0,2028-01-20,0,0.969,100.0,11,Low
202505,5,0,0,0,0,1,1,0,2028-01-21,0,0.969,100.0,12,Low
202506,5,0,0,0,0,1,1,0,2028-01-20,0,0.969,100.0,11,Low
202507,5,0,0,0,0,1,1,0,2028-01-15,0,0.983,100.0,6,Low
202508,5,0.1,0.1,6000,6000,1,1,0,2028-01-09,0.0,1.0,100.0,0,Low
202509,5,3.6,3.6,177000,176000,1,1,0,2028-01-11,-0.02,0.994,100.0,2,Low
202510,5,7.2,7.1,355000,349000,1,1,0,2028-01-14,-0.1,0.986,100.0,5,Low
202511,5,10.7,10.6,526000,520000,2,2,0,2028-01-13,-0.12,0.989,100.0,4,Low
202512,5,14.3,14.3,703000,706000,3,3,0,2028-01-09,0.04,1.003,100.0,0,Low
202601,5,17.9,17.5,881000,864000,4,4,0,2028-01-16,-0.35,0.981,100.0,7,Low
202602,5,21.1,20.6,1041000,1017000,4,4,0,2028-01-17,-0.48,0.977,100.0,8,Low
202603,5,24.7,23.8,1218000,1174000,5,5,0,2028-01-23,-0.89,0.964,100.0,14,Low
202604,5,28.2,27.7,1390000,1366000,6,6,0,2028-01-15,-0.49,0.983,100.0,6,Low
202605,5,31.8,31.9,1567000,1574000,6,6,0,2028-01-09,0.13,1.004,100.0,0,Low
202606,5,35.3,35.1,1739000,1728000,7,7,0,2028-01-11,-0.21,0.994,100.0,2,Low
202607,5,38.9,39.1,1916000,1926000,8,8,0,2028-01-09,0.21,1.005,100.0,0,Low
202608,5,42.5,42.5,2093000,2095000,8,8,0,2028-01-09,0.03,1.001,100.0,0,Low
202609,5,45.9,45.8,2265000,2256000,9,9,0,2028-01-10,-0.18,0.996,100.0,1,Low
202610,5,49.5,49.2,2442000,2427000,10,10,0,2028-01-11,-0.31,0.994,100.0,2,Low
202611,5,53.0,51.7,2614000,2547000,11,11,0,2028-01-18,-1.36,0.974,100.0,9,Low
202612,5,56.6,55.4,2791000,2732000,11,11,0,2028-01-17,-1.2,0.979,100.0,8,Low
202501,6,0,0,0,0,1,1,0,2026-04-04,0,0.974,100.0,2,Low
202502,6,0,0,0,0,1,1,0,2026-04-03,0,0.978,100.0,1,Low
202503,6,0,0,0,0,1,1,0,2026-04-04,0,0.968,100.0,2,Low
202504,6,0,0,0,0,1,1,0,2026-04-05,0,0.963,100.0,3,Low
202505,6,0,0,0,0,1,1,0,2026-04-06,0,0.949,100.0,4,Low
202506,6,0,0,0,0,1,1,0,2026-04-05,0,0.96,100.0,3,Low
202507,6,0,0,0,0,1,1,0,2026-04-03,0,0.98,100.0,1,Low
202508,6,0,0,0,0,1,1,0,2026-04-03,0,0.985,100.0,1,Low
202509,6,1.1,1.1,56000,55000,1,1,0,2026-04-02,-0.01,0.989,100.0,0,Low
202510,6,17.7,17.4,921000,902000,4,4,0,2026-04-03,-0.37,0.979,100.0,1,Low
202511,6,33.9,33.4,1758000,1733000,7,7,0,2026-04-03,-0.47,0.986,100.0,1,Low
202512,6,50.5,48.8,2622000,2531000,10,10,0,2026-04-04,-1.75,0.965,100.0,2,Low
202601,6,67.2,65.2,3487000,3384000,13,13,0,2026-04-04,-1.99,0.97,100.0,2,Low
202602,6,82.3,80.9,4268000,4199000,16,16,0,2026-04-03,-1.34,0.984,100.0,1,Low
202603,6,98.9,95.8,5133000,4973000,20,19,1,2026-04-04,-3.09,0.969,95.0,2,Low
202604,6,100,97.0,5189000,5032000,20,19,1,2026-04-04,-3.02,0.97,95.0,2,Low
202605,6,100,94.5,5189000,4902000,20,19,1,2026-04-06,-5.53,0.945,95.0,4,Low
202606,6,100,97.4,5189000,5052000,20,19,1,2026-04-04,-2.65,0.974,95.0,2,Low
202607,6,100,95.0,5189000,4928000,20,19,1,2026-04-06,-5.03,0.95,95.0,4,Low
202608,6,100,98.3,5189000,5100000,20,20,0,2026-04-03,-1.71,0.983,100.0,1,Low
202609,6,100,96.4,5189000,5003000,20,19,1,2026-04-04,-3.58,0.964,95.0,2,Low
202610,6,100,95.4,5189000,4952000,20,19,1,2026-04-05,-4.57,0.954,95.0,3,Low
202611,6,100,95.0,5189000,4931000,20,19,1,2026-04-06,-4.97,0.95,95.0,4,Low
202612,6,100,99.0,5189000,5139000,20,20,0,2026-04-02,-0.97,0.99,100.0,0,Low
202501,7,100,98.5,15360000,15125000,20,20,0,2024-11-21,-1.53,0.985,100.0,2,Low
202502,7,100,96.8,15360000,14868000,20,19,1,2024-11-23,-3.2,0.968,95.0,4,Low
202503,7,100,95.8,15360000,14722000,20,19,1,2024-11-24,-4.16,0.958,95.0,5,Low
202504,7,100,96.0,15360000,14753000,20,19,1,2024-11-24,-3.95,0.96,95.0,5,Low
202505,7,100,95.4,15360000,14649000,20,19,1,2024-11-25,-4.63,0.954,95.0,6,Low
202506,7,100,94.1,15360000,14448000,20,19,1,2024-11-26,-5.94,0.941,95.0,7,Low
202507,7,100,95.5,15360000,14669000,20,19,1,2024-11-24,-4.5,0.955,95.0,5,Low
202508,7,100,94.9,15360000,14578000,20,19,1,2024-11-25,-5.09,0.949,95.0,6,Low
202509,7,100,96.6,15360000,14845000,20,19,1,2024-11-23,-3.35,0.966,95.0,4,Low
202510,7,100,98.1,15360000,15066000,20,20,0,2024-11-21,-1.92,0.981,100.0,2,Low
202511,7,100,99.4,15360000,15264000,20,20,0,2024-11-19,-0.62,0.994,100.0,0,Low
202512,7,100,98.0,15360000,15053000,20,20,0,2024-11-21,-2.0,0.98,100.0,2,Low
202601,7,100,97.3,15360000,14939000,20,19,1,2024-11-22,-2.74,0.973,95.0,3,Low
202602,7,100,96.4,15360000,14803000,20,19,1,2024-11-23,-3.63,0.964,95.0,4,Low
202603,7,100,97.5,15360000,14976000,20,19,1,2024-11-22,-2.5,0.975,95.0,3,Low
202604,7,100,94.0,15360000,14437000,20,19,1,2024-11-26,-6.01,0.94,95.0,7,Low
202605,7,100,94.1,15360000,14453000,20,19,1,2024-11-26,-5.9,0.941,95.0,7,Low
202606,7,100,96.2,15360000,14771000,20,19,1,2024-11-24,-3.83,0.962,95.0,5,Low
202607,7,100,96.4,15360000,14803000,20,19,1,2024-11-23,-3.63,0.964,95.0,4,Low
202608,7,100,94.7,15360000,14544000,20,19,1,2024-11-26,-5.31,0.947,95.0,7,Low
202609,7,100,99.1,15360000,15215000,20,20,0,2024-11-20,-0.95,0.991,100.0,1,Low
202610,7,100,95.1,15360000,14604000,20,19,1,2024-11-25,-4.92,0.951,95.0,6,Low
202611,7,100,95.2,15360000,14630000,20,19,1,2024-11-25,-4.75,0.952,95.0,6,Low
202612,7,100,98.5,15360000,15124000,20,20,0,2024-11-21,-1.54,0.985,100.0,2,Low
202501,8,0,0,0,0,1,1,0,2027-02-01,0,0.833,100.0,47,Medium
202502,8,0,0,0,0,1,1,0,2027-02-06,0,0.814,100.0,52,Medium
202503,8,1.3,1.0,96000,78000,1,1,0,2027-02-06,-0.23,0.814,100.0,52,Medium
202504,8,6.0,4.7,455000,356000,1,1,0,2027-02-16,-1.31,0.782,100.0,62,High
202505,8,10.9,8.6,827000,653000,2,2,0,2027-02-13,-2.29,0.79,100.0,59,High
202506,8,15.6,12.7,1187000,961000,3,2,1,2027-02-08,-2.97,0.81,66.7,54,Medium
202507,8,20.5,16.6,1558000,1257000,4,3,1,2027-02-09,-3.97,0.806,75.0,55,Medium
202508,8,25.4,20.1,1930000,1527000,5,4,1,2027-02-13,-5.31,0.791,80.0,59,High
202509,8,30.2,23.8,2289000,1808000,6,5,1,2027-02-13,-6.35,0.79,83.3,59,High
202510,8,35.1,27.6,2661000,2093000,7,6,1,2027-02-14,-7.48,0.787,85.7,60,High
202511,8,39.8,30.5,3020000,2314000,8,6,2,2027-02-20,-9.3,0.766,75.0,66,High
202512,8,44.7,33.7,3392000,2557000,9,7,2,2027-02-24,-11.01,0.754,77.8,70,High
202601,8,49.6,38.6,3764000,2930000,10,8,2,2027-02-17,-10.99,0.778,80.0,63,High
202602,8,54.0,41.0,4099000,3114000,11,8,3,2027-02-22,-12.98,0.76,72.7,68,High
202603,8,58.9,44.2,4471000,3352000,12,9,3,2027-02-25,-14.75,0.75,75.0,71,High
202604,8,63.7,52.6,4830000,3987000,13,11,2,2027-02-03,-11.11,0.825,84.6,49,Medium
202605,8,68.6,59.5,5202000,4513000,14,12,2,2027-01-22,-9.08,0.868,85.7,37,Medium
202606,8,73.3,64.4,5561000,4889000,15,13,2,2027-01-19,-8.87,0.879,86.7,34,Medium
202607,8,78.2,69.1,5933000,5240000,16,14,2,2027-01-18,-9.13,0.883,87.5,33,Medium
202608,8,83.1,74.4,6305000,5648000,17,15,2,2027-01-14,-8.65,0.896,88.2,29,Medium
202609,8,87.8,81.0,6664000,6144000,18,17,1,2027-01-07,-6.86,0.922,94.4,22,Low
202610,8,92.7,85.9,7036000,6515000,19,18,1,2027-01-06,-6.86,0.926,94.7,21,Low
202611,8,97.5,94.4,7395000,7160000,19,18,1,2026-12-25,-3.1,0.968,94.7,9,Low
202612,8,100,98.8,7587000,7496000,20,20,0,2026-12-19,-1.2,0.988,100.0,3,Low
202501,9,0,0,0,0,1,1,0,2028-10-03,0,0.813,100.0,73,Medium
202502,9,0,0,0,0,1,1,0,2028-10-04,0,0.812,100.0,74,Medium
202503,9,0,0,0,0,1,1,0,2028-10-03,0,0.815,100.0,73,Medium
202504,9,0,0,0,0,1,1,0,2028-10-11,0,0.795,100.0,81,High
202505,9,0,0,0,0,1,1,0,2028-10-15,0,0.784,100.0,85,High
202506,9,0,0,0,0,1,1,0,2028-10-12,0,0.793,100.0,82,High
202507,9,0,0,0,0,1,1,0,2028-10-06,0,0.807,100.0,76,Medium
202508,9,0,0,0,0,1,1,0,2028-10-08,0,0.801,100.0,78,Medium
202509,9,0,0,0,0,1,1,0,2028-10-11,0,0.795,100.0,81,High
202510,9,0,0,0,0,1,1,0,2028-10-13,0,0.788,100.0,83,High
202511,9,0,0,0,0,1,1,0,2028-10-23,0,0.763,100.0,93,High
202512,9,0,0,0,0,1,1,0,2028-09-24,0,0.837,100.0,64,Medium
202601,9,0,0,0,0,1,1,0,2028-09-21,0,0.845,100.0,61,Medium
202602,9,0.5,0.4,7000,6000,1,1,0,2028-09-17,-0.07,0.856,100.0,57,Medium
202603,9,4.0,3.5,57000,51000,1,1,0,2028-09-04,-0.45,0.887,100.0,44,Medium
202604,9,7.4,6.7,107000,97000,1,1,0,2028-08-27,-0.69,0.907,100.0,36,Low
202605,9,10.9,10.2,157000,147000,2,2,0,2028-08-17,-0.73,0.933,100.0,26,Low
202606,9,14.3,13.4,207000,193000,3,3,0,2028-08-17,-0.95,0.933,100.0,26,Low
202607,9,17.9,17.4,258000,251000,4,4,0,2028-08-01,-0.45,0.975,100.0,10,Low
202608,9,21.4,21.1,308000,304000,4,4,0,2028-07-27,-0.29,0.987,100.0,5,Low
202609,9,24.8,24.3,358000,351000,5,5,0,2028-07-29,-0.45,0.982,100.0,7,Low
202610,9,28.3,27.7,408000,400000,6,6,0,2028-07-30,-0.59,0.979,100.0,8,Low
202611,9,31.7,30.9,458000,446000,6,6,0,2028-08-01,-0.83,0.974,100.0,10,Low
202612,9,35.3,34.9,509000,503000,7,7,0,2028-07-25,-0.35,0.99,100.0,3,Low
202501,10,0,0,0,0,1,1,0,2027-05-24,0,0.95,100.0,18,Low
202502,10,3.0,3.0,214000,210000,1,1,0,2027-05-11,-0.05,0.984,100.0,5,Low
202503,10,6.8,6.5,479000,458000,1,1,0,2027-05-22,-0.29,0.957,100.0,16,Low
202504,10,10.5,10.0,735000,699000,2,2,0,2027-05-23,-0.51,0.952,100.0,17,Low
202505,10,14.2,13.8,1000000,972000,3,3,0,2027-05-16,-0.4,0.972,100.0,10,Low
202506,10,17.9,17.1,1256000,1204000,4,4,0,2027-05-21,-0.74,0.959,100.0,15,Low
202507,10,21.7,21.4,1521000,1504000,4,4,0,2027-05-10,-0.24,0.989,100.0,4,Low
202508,10,25.4,24.1,1786000,1696000,5,5,0,2027-05-24,-1.28,0.95,100.0,18,Low
202509,10,29.1,27.7,2042000,1949000,6,6,0,2027-05-22,-1.33,0.954,100.0,16,Low
202510,10,32.8,31.6,2307000,2218000,7,7,0,2027-05-20,-1.28,0.961,100.0,14,Low
202511,10,36.5,35.8,2564000,2513000,7,7,0,2027-05-13,-0.72,0.98,100.0,7,Low
202512,10,40.3,38.6,2828000,2714000,8,8,0,2027-05-20,-1.63,0.96,100.0,14,Low
202601,10,44.0,42.4,3093000,2981000,9,9,0,2027-05-19,-1.59,0.964,100.0,13,Low
202602,10,47.4,44.9,3333000,3153000,9,9,0,2027-05-25,-2.55,0.946,100.0,19,Low
202603,10,51.2,49.3,3597000,3465000,10,10,0,2027-05-19,-1.89,0.963,100.0,13,Low
202604,10,54.9,51.9,3854000,3645000,11,10,1,2027-05-26,-2.97,0.946,90.9,20,Low
202605,10,58.6,56.5,4119000,3969000,12,12,0,2027-05-19,-2.13,0.964,100.0,13,Low
202606,10,62.3,59.6,4375000,4188000,12,11,1,2027-05-21,-2.66,0.957,91.7,15,Low
202607,10,66.1,64.4,4640000,4526000,13,13,0,2027-05-15,-1.62,0.976,100.0,9,Low
202608,10,69.8,68.4,4905000,4805000,14,14,0,2027-05-13,-1.42,0.98,100.0,7,Low
202609,10,73.5,70.2,5161000,4929000,15,14,1,2027-05-22,-3.31,0.955,93.3,16,Low
202610,10,77.3,72.9,5426000,5122000,15,14,1,2027-05-26,-4.33,0.944,93.3,20,Low
202611,10,80.9,79.2,5682000,5560000,16,16,0,2027-05-13,-1.74,0.978,100.0,7,Low
202612,10,84.7,80.0,5947000,5618000,17,16,1,2027-05-26,-4.69,0.945,94.1,20,Low
202501,11,0,0,0,0,1,1,0,2027-10-16,0,0.993,100.0,2,Low
202502,11,0,0,0,0,1,1,0,2027-10-21,0,0.978,100.0,7,Low
202503,11,0,0,0,0,1,1,0,2027-10-25,0,0.967,100.0,11,Low
202504,11,0,0,0,0,1,1,0,2027-10-25,0,0.968,100.0,11,Low
202505,11,0,0,0,0,1,1,0,2027-11-03,0,0.941,100.0,20,Low
202506,11,0,0,0,0,1,1,0,2027-10-22,0,0.976,100.0,8,Low
202507,11,0,0,0,0,1,1,0,2027-10-27,0,0.962,100.0,13,Low
202508,11,0,0,0,0,1,1,0,2027-10-29,0,0.956,100.0,15,Low
202509,11,3.6,3.6,225000,223000,1,1,0,2027-10-17,-0.04,0.99,100.0,3,Low
202510,11,7.6,7.5,474000,465000,2,2,0,2027-10-20,-0.14,0.981,100.0,6,Low
202511,11,11.5,11.3,715000,699000,2,2,0,2027-10-21,-0.25,0.978,100.0,7,Low
202512,11,15.5,14.7,964000,914000,3,3,0,2027-10-31,-0.8,0.949,100.0,17,Low
202601,11,19.6,19.3,1213000,1195000,4,4,0,2027-10-19,-0.29,0.985,100.0,5,Low
202602,11,23.2,22.1,1438000,1372000,5,5,0,2027-10-29,-1.06,0.954,100.0,15,Low
202603,11,27.2,25.6,1687000,1585000,5,5,0,2027-11-03,-1.64,0.94,100.0,20,Low
202604,11,31.1,30.1,1927000,1868000,6,6,0,2027-10-24,-0.95,0.969,100.0,10,Low
202605,11,35.1,34.4,2176000,2135000,7,7,0,2027-10-20,-0.67,0.981,100.0,6,Low
202606,11,39.0,38.3,2417000,2373000,8,8,0,2027-10-20,-0.72,0.982,100.0,6,Low
202607,11,43.0,42.0,2666000,2603000,9,9,0,2027-10-22,-1.03,0.976,100.0,8,Low
202608,11,47.0,44.3,2915000,2749000,9,8,1,2027-11-02,-2.69,0.943,88.9,19,Low
202609,11,50.9,48.1,3156000,2979000,10,9,1,2027-11-02,-2.85,0.944,90.0,19,Low
202610,11,54.9,54.2,3405000,3358000,11,11,0,2027-10-18,-0.77,0.986,100.0,4,Low
202611,11,58.8,58.1,3646000,3601000,12,12,0,2027-10-18,-0.73,0.988,100.0,4,Low
202612,11,62.8,60.0,3895000,3719000,13,12,1,2027-10-29,-2.84,0.955,92.3,15,Low
202501,12,53.9,54.9,1472000,1500000,11,11,0,2025-09-15,1.01,1.019,100.0,0,Low
202502,12,59.6,59.7,1628000,1631000,12,12,0,2025-09-15,0.13,1.002,100.0,0,Low
202503,12,65.9,67.0,1800000,1832000,13,13,0,2025-09-15,1.16,1.018,100.0,0,Low
202504,12,72.0,73.6,1966000,2011000,14,14,0,2025-09-15,1.65,1.023,100.0,0,Low
202505,12,78.3,80.6,2139000,2202000,16,16,0,2025-09-15,2.31,1.029,100.0,0,Low
202506,12,84.3,85.4,2305000,2334000,17,17,0,2025-09-15,1.04,1.012,100.0,0,Low
202507,12,90.7,93.5,2477000,2556000,18,18,0,2025-09-15,2.88,1.032,100.0,0,Low
202508,12,97.0,99.5,2650000,2720000,19,19,0,2025-09-15,2.59,1.027,100.0,0,Low
202509,12,100,100,2733000,2838000,20,20,0,2025-09-15,0,1.038,100.0,0,Low
202510,12,100,99.7,2733000,2724000,20,20,0,2025-09-15,-0.35,0.997,100.0,0,Low
202511,12,100,100,2733000,2838000,20,20,0,2025-09-15,0,1.039,100.0,0,Low
202512,12,100,100,2733000,2838000,20,20,0,2025-09-15,0,1.038,100.0,0,Low
202601,12,100,99.6,2733000,2723000,20,20,0,2025-09-15,-0.36,0.996,100.0,0,Low
202602,12,100,100,2733000,2787000,20,20,0,2025-09-15,0,1.02,100.0,0,Low
202603,12,100,100,2733000,2747000,20,20,0,2025-09-15,0,1.005,100.0,0,Low
202604,12,100,100,2733000,2780000,20,20,0,2025-09-15,0,1.017,100.0,0,Low
202605,12,100,100,2733000,2829000,20,20,0,2025-09-15,0,1.035,100.0,0,Low
202606,12,100,100,2733000,2737000,20,20,0,2025-09-15,0,1.001,100.0,0,Low
