period_id,project_id,financial_health_score,schedule_health_score,risk_health_score,resource_health_score,overall_health_score,health_status,strategic_importance_score,executive_attention_score,executive_attention_flag
202501,2,57.1,70.1,65.5,70.3,65.7,Watch,77.0,49.2,No
202502,2,62.5,66.6,65.5,60.8,64.1,At Risk,77.0,50.3,No
202503,2,60.6,66.7,81.6,58.7,67.3,Watch,77.0,48.2,No
202504,2,70.7,62.3,100,58.2,73.0,Watch,77.0,44.5,No
202505,2,61.8,61.5,100,51.8,69.3,Watch,77.0,46.9,No
202506,2,65.8,61.2,100,60.2,71.8,Watch,77.0,45.3,No
202507,2,56.8,60.1,100,61.3,69.5,Watch,77.0,46.8,No
202508,2,68.4,61.4,100,65.9,73.7,Watch,77.0,44.0,No
202509,2,67.1,63.9,100,70.7,75.1,Watch,77.0,43.1,No
202510,2,60.1,59.1,100,70.9,71.9,Watch,77.0,45.2,No
202511,2,59.4,57.7,65.5,69.4,62.4,At Risk,77.0,51.4,No
202512,2,64.6,72.4,55.2,61.5,64.0,At Risk,77.0,50.4,No
202601,2,63.0,74.3,100,60.5,75.1,Watch,77.0,43.1,No
202602,2,63.9,79.5,100,46.1,74.0,Watch,77.0,43.8,No
202603,2,66.6,80.4,100,44.1,74.6,Watch,77.0,43.5,No
202604,2,66.5,85.9,100,40.8,75.6,Watch,77.0,42.8,No
202605,2,66.8,85.1,77.0,46.0,70.7,Watch,77.0,46.0,No
202606,2,70.8,87.7,100,45.8,78.1,Watch,77.0,41.2,No
202607,2,72.0,90.9,100,50.7,80.4,Healthy,77.0,39.7,No
202608,2,71.3,93.2,100,59.2,82.6,Healthy,77.0,38.2,No
202609,2,74.0,93.2,100,58.1,83.1,Healthy,77.0,37.9,No
202610,2,75.6,93.2,65.5,48.0,72.8,Watch,77.0,44.6,No
202611,2,75.8,93.2,100,58.2,83.6,Healthy,77.0,37.6,No
202612,2,80.2,93.2,100,52.7,83.5,Healthy,77.0,37.6,No
202501,3,82.0,41.8,100,67.0,71.5,Watch,71.0,43.4,No
202502,3,82.0,43.0,100,56.7,69.7,Watch,71.0,44.5,No
202503,3,82.0,44.1,100,54.4,69.6,Watch,71.0,44.6,No
202504,3,82.0,43.9,100,47.1,68.1,Watch,71.0,45.6,No
202505,3,82.0,44.5,34.5,50.7,52.6,At Risk,71.0,55.6,No
202506,3,82.0,41.5,100,51.1,68.2,Watch,71.0,45.5,No
202507,3,82.0,36.8,100,59.2,68.4,Watch,71.0,45.4,No
202508,3,82.0,42.5,65.5,58.3,61.3,At Risk,71.0,50.0,No
202509,3,82.0,39.7,100,65.9,70.6,Watch,71.0,44.0,No
202510,3,82.0,40.8,0,64.8,45.7,Critical,71.0,60.1,Yes
202511,3,82.0,36.5,34.5,63.3,52.7,At Risk,71.0,55.6,No
202512,3,66.2,39.8,100,54.2,64.3,At Risk,71.0,48.0,No
202601,3,70.0,36.7,100,56.6,64.8,At Risk,71.0,47.7,No
202602,3,78.6,34.1,100,46.7,64.2,At Risk,71.0,48.1,No
202603,3,59.7,36.1,100,45.0,59.8,At Risk,71.0,51.0,No
202604,3,73.0,34.0,100,38.2,61.1,At Risk,71.0,50.1,No
202605,3,64.2,31.8,100,36.8,57.9,At Risk,71.0,52.2,No
202606,3,61.1,36.2,100,42.8,59.7,At Risk,71.0,51.1,No
202607,3,70.9,34.4,46.0,47.8,49.1,Critical,71.0,57.9,No
202608,3,71.8,34.7,100,52.4,63.8,At Risk,71.0,48.4,No
202609,3,66.6,28.6,100,54.0,61.0,At Risk,71.0,50.2,No
202610,3,74.2,27.6,100,51.9,62.2,At Risk,71.0,49.4,No
202611,3,59.9,31.2,100,54.7,60.3,At Risk,71.0,50.7,No
202612,3,78.4,29.7,100,48.1,63.1,At Risk,71.0,48.8,No
202501,4,82.0,50.1,100,93.9,79.3,Watch,84.0,42.9,No
202502,4,82.0,50.1,55.2,85.2,66.4,Watch,84.0,51.3,No
202503,4,82.0,51.1,100,77.4,76.3,Watch,84.0,44.8,No
202504,4,82.0,51.4,100,83.7,77.7,Watch,84.0,43.9,No
202505,4,82.0,48.4,31.0,75.5,57.9,At Risk,84.0,56.8,No
202506,4,61.6,51.2,100,87.7,73.3,Watch,84.0,46.8,No
202507,4,58.6,50.6,100,85.0,71.8,Watch,84.0,47.7,No
202508,4,62.2,47.4,100,94.7,73.7,Watch,84.0,46.5,No
202509,4,64.0,47.7,100,95.1,74.3,Watch,84.0,46.1,No
202510,4,57.1,48.4,100,95.3,72.9,Watch,84.0,47.0,No
202511,4,69.1,49.5,46.0,92.8,62.2,At Risk,84.0,54.0,No
202512,4,56.4,46.6,100,88.1,70.7,Watch,84.0,48.4,No
202601,4,63.4,59.3,100,86.5,75.9,Watch,84.0,45.0,No
202602,4,65.6,59.8,100,77.9,74.9,Watch,84.0,45.7,No
202603,4,63.7,63.9,100,75.2,75.1,Watch,84.0,45.6,No
202604,4,65.1,67.6,100,67.1,75.0,Watch,84.0,45.7,No
202605,4,66.5,71.7,100,69.6,77.0,Watch,84.0,44.3,No
202606,4,70.5,70.3,77.0,69.2,71.8,Watch,84.0,47.7,No
202607,4,72.7,74.3,100,73.1,80.1,Healthy,84.0,42.4,No
202608,4,73.5,81.3,100,82.9,84.4,Healthy,84.0,39.6,No
202609,4,71.4,84.3,100,79.8,84.1,Healthy,84.0,39.7,No
202610,4,76.0,81.8,100,86.8,85.9,Healthy,84.0,38.6,No
202611,4,73.5,84.9,100,82.4,85.3,Healthy,84.0,38.9,No
202612,4,75.1,85.7,100,78.5,85.2,Healthy,84.0,39.0,No
202501,5,82.0,94.0,100,93.9,92.5,Healthy,80.5,33.1,No
202502,5,82.0,93.4,86.2,85.2,87.1,Healthy,80.5,36.6,No
202503,5,82.0,88.6,100,77.4,87.6,Healthy,80.5,36.3,No
202504,5,82.0,89.5,100,83.7,89.1,Healthy,80.5,35.3,No
202505,5,82.0,89.4,100,75.5,87.4,Healthy,80.5,36.4,No
202506,5,82.0,89.4,100,87.7,89.9,Healthy,80.5,34.8,No
202507,5,82.0,91.9,100,85.0,90.1,Healthy,80.5,34.6,No
202508,5,92.5,95.1,100,94.7,95.6,Healthy,80.5,31.0,No
202509,5,90.4,93.9,100,95.1,94.8,Healthy,80.5,31.6,No
202510,5,78.1,92.4,100,95.3,91.3,Healthy,80.5,33.8,No
202511,5,82.1,93.0,100,92.8,92.0,Healthy,80.5,33.4,No
202512,5,79.6,95.5,100,88.1,91.2,Healthy,80.5,33.9,No
202601,5,82.9,91.5,100,86.5,90.5,Healthy,80.5,34.4,No
202602,5,82.2,90.9,90.8,77.9,86.1,Healthy,80.5,37.2,No
202603,5,83.2,88.5,95.4,75.2,86.2,Healthy,80.5,37.1,No
202604,5,92.6,91.9,100,67.1,89.1,Healthy,80.5,35.2,No
202605,5,89.0,95.7,100,69.6,89.9,Healthy,80.5,34.7,No
202606,5,83.2,93.9,100,69.2,87.8,Healthy,80.5,36.1,No
202607,5,87.7,96.0,100,73.1,90.3,Healthy,80.5,34.5,No
202608,5,93.0,95.1,100,82.9,93.4,Healthy,80.5,32.5,No
202609,5,77.3,94.3,100,79.8,88.6,Healthy,80.5,35.6,No
202610,5,92.5,93.9,100,86.8,93.6,Healthy,80.5,32.3,No
202611,5,92.3,90.4,100,82.4,91.7,Healthy,80.5,33.6,No
202612,5,77.3,91.2,100,78.5,87.4,Healthy,80.5,36.4,No
202501,6,82.0,90.4,81.6,64.8,81.0,Healthy,89.5,43.7,No
202502,6,82.0,91.0,100,55.9,84.0,Healthy,89.5,41.7,No
202503,6,82.0,89.2,100,52.9,82.8,Healthy,89.5,42.5,No
202504,6,82.0,88.4,100,50.4,82.1,Healthy,89.5,43.0,No
202505,6,82.0,85.8,100,49.5,81.1,Healthy,89.5,43.6,No
202506,6,82.0,87.8,100,54.1,82.7,Healthy,89.5,42.6,No
202507,6,82.0,91.4,100,54.2,83.8,Healthy,89.5,41.9,No
202508,6,82.0,92.3,100,59.0,85.0,Healthy,89.5,41.1,No
202509,6,59.2,92.9,100,66.7,81.0,Healthy,89.5,43.7,No
202510,6,60.2,91.3,100,63.5,80.1,Healthy,89.5,44.2,No
202511,6,66.8,92.5,100,64.5,82.3,Healthy,89.5,42.8,No
202512,6,59.4,88.8,100,55.3,77.5,Watch,89.5,45.9,No
202601,6,67.1,89.7,100,55.8,79.8,Watch,89.5,44.4,No
202602,6,49.1,92.1,100,41.5,73.2,Watch,89.5,48.8,No
202603,6,53.8,89.4,72.4,41.6,66.7,Watch,89.5,53.0,No
202604,6,55.4,89.6,65.5,37.7,64.6,At Risk,89.5,54.3,No
202605,6,51.9,85.0,100,37.2,70.9,Watch,89.5,50.2,No
202606,6,56.4,90.2,72.4,37.9,66.9,Watch,89.5,52.9,No
202607,6,66.8,86.0,100,42.9,76.1,Watch,89.5,46.9,No
202608,6,65.6,91.9,100,49.7,78.9,Watch,89.5,45.0,No
202609,6,54.6,88.6,100,54.3,76.1,Watch,89.5,46.9,No
202610,6,65.3,86.8,100,47.0,76.8,Watch,89.5,46.4,No
202611,6,54.7,86.0,100,53.8,75.3,Watch,89.5,47.4,No
202612,6,58.2,93.3,46.0,48.7,63.8,At Risk,89.5,54.9,No
202501,7,88.5,92.3,100,67.0,88.2,Healthy,76.5,34.4,No
202502,7,92.1,89.2,100,56.7,86.1,Healthy,76.5,35.8,No
202503,7,91.2,87.5,100,54.4,84.9,Healthy,76.5,36.6,No
202504,7,90.5,87.9,100,47.1,83.4,Healthy,76.5,37.6,No
202505,7,93.0,86.7,100,50.7,84.4,Healthy,76.5,36.9,No
202506,7,92.8,84.3,100,51.1,83.7,Healthy,76.5,37.4,No
202507,7,80.6,86.9,100,59.2,83.1,Healthy,76.5,37.8,No
202508,7,85.4,85.8,100,58.3,83.8,Healthy,76.5,37.3,No
202509,7,79.3,89.0,100,65.9,84.7,Healthy,76.5,36.7,No
202510,7,83.9,91.6,100,64.8,86.4,Healthy,76.5,35.6,No
202511,7,87.3,93.9,100,63.3,87.6,Healthy,76.5,34.8,No
202512,7,84.9,91.4,100,54.2,84.5,Healthy,76.5,36.9,No
202601,7,80.1,90.1,100,56.6,83.4,Healthy,76.5,37.6,No
202602,7,89.2,88.5,100,46.7,83.2,Healthy,76.5,37.7,No
202603,7,78.3,90.5,100,45.0,80.7,Healthy,76.5,39.3,No
202604,7,77.6,84.2,100,38.2,77.3,Watch,76.5,41.5,No
202605,7,81.9,84.4,100,36.8,78.1,Watch,76.5,41.0,No
202606,7,91.5,88.1,100,42.8,82.9,Healthy,76.5,37.9,No
202607,7,88.7,88.5,100,47.8,83.3,Healthy,76.5,37.7,No
202608,7,78.8,85.4,100,52.4,80.8,Healthy,76.5,39.2,No
202609,7,92.7,93.3,100,54.0,87.0,Healthy,76.5,35.2,No
202610,7,88.4,86.1,100,51.9,83.3,Healthy,76.5,37.6,No
202611,7,83.2,86.4,100,54.7,82.7,Healthy,76.5,38.0,No
202612,7,89.7,92.2,100,48.1,84.7,Healthy,76.5,36.7,No
202501,8,82.0,64.9,100,74.2,79.8,Watch,77.0,40.1,No
202502,8,82.0,61.6,100,67.6,77.5,Watch,77.0,41.6,No
202503,8,66.8,61.5,100,65.1,73.2,Watch,77.0,44.4,No
202504,8,71.2,55.7,100,64.3,72.4,Watch,77.0,44.9,No
202505,8,70.9,57.2,100,58.0,71.5,Watch,77.0,45.5,No
202506,8,58.5,60.8,100,63.5,70.6,Watch,77.0,46.1,No
202507,8,67.3,60.2,100,63.7,72.6,Watch,77.0,44.7,No
202508,8,72.2,57.4,100,73.2,74.9,Watch,77.0,43.3,No
202509,8,57.5,57.1,100,75.6,71.6,Watch,77.0,45.4,No
202510,8,72.2,56.6,100,74.3,74.9,Watch,77.0,43.3,No
202511,8,70.1,52.9,55.2,74.5,62.1,At Risk,77.0,51.6,No
202512,8,58.6,50.7,100,63.4,67.5,Watch,77.0,48.1,No
202601,8,64.3,55.1,100,60.0,69.6,Watch,77.0,46.7,No
202602,8,62.1,51.7,100,56.6,67.4,Watch,77.0,48.2,No
202603,8,58.5,50.0,100,51.0,64.8,At Risk,77.0,49.8,No
202604,8,64.8,63.6,54.0,46.9,58.2,At Risk,77.0,54.1,No
202605,8,64.0,71.2,100,49.6,72.3,Watch,77.0,45.0,No
202606,8,63.8,73.2,72.4,55.2,67.1,Watch,77.0,48.4,No
202607,8,68.4,74.0,100,54.8,75.2,Watch,77.0,43.0,No
202608,8,66.9,76.3,100,57.8,76.2,Watch,77.0,42.4,No
202609,8,70.7,80.9,100,64.0,79.8,Watch,77.0,40.1,No
202610,8,70.3,81.7,100,54.2,77.9,Watch,77.0,41.3,No
202611,8,71.5,89.3,100,62.5,82.2,Healthy,77.0,38.5,No
202612,8,70.7,92.8,65.5,55.4,73.0,Watch,77.0,44.5,No
202501,9,82.0,61.4,100,93.9,82.7,Healthy,75.5,37.7,No
202502,9,82.0,61.1,100,85.2,80.9,Healthy,75.5,38.9,No
202503,9,82.0,61.7,100,77.4,79.5,Watch,75.5,39.7,No
202504,9,82.0,58.1,77.0,83.7,73.9,Watch,75.5,43.4,No
202505,9,82.0,56.1,100,75.5,77.4,Watch,75.5,41.1,No
202506,9,82.0,57.7,100,87.7,80.3,Healthy,75.5,39.2,No
202507,9,82.0,60.2,100,85.0,80.6,Healthy,75.5,39.1,No
202508,9,82.0,59.1,100,94.7,82.2,Healthy,75.5,38.0,No
202509,9,82.0,58.1,100,95.1,81.9,Healthy,75.5,38.2,No
202510,9,82.0,56.8,100,95.3,81.6,Healthy,75.5,38.4,No
202511,9,82.0,52.3,100,92.8,79.8,Watch,75.5,39.6,No
202512,9,82.0,65.7,100,88.1,82.8,Healthy,75.5,37.6,No
202601,9,82.0,67.1,100,86.5,82.9,Healthy,75.5,37.5,No
202602,9,63.1,69.0,37.9,77.9,61.5,At Risk,75.5,51.4,No
202603,9,65.2,74.6,100,75.2,78.7,Watch,75.5,40.3,No
202604,9,67.1,78.2,100,67.1,78.7,Watch,75.5,40.3,No
202605,9,68.9,83.0,100,69.6,81.0,Healthy,75.5,38.8,No
202606,9,69.6,83.0,100,69.2,81.1,Healthy,75.5,38.7,No
202607,9,69.8,90.4,55.2,73.1,73.0,Watch,75.5,44.0,No
202608,9,73.7,92.6,100,82.9,87.8,Healthy,75.5,34.4,No
202609,9,76.6,91.7,100,79.8,87.6,Healthy,75.5,34.5,No
202610,9,75.9,91.2,100,86.8,88.7,Healthy,75.5,33.8,No
202611,9,76.5,90.3,100,82.4,87.7,Healthy,75.5,34.4,No
202612,9,77.0,93.2,77.0,78.5,82.2,Healthy,75.5,38.0,No
202501,10,82.0,86.0,100,67.0,84.7,Healthy,68.5,33.9,No
202502,10,52.2,92.1,100,56.7,77.0,Watch,68.5,38.9,No
202503,10,48.6,87.2,100,54.4,74.2,Watch,68.5,40.8,No
202504,10,51.3,86.3,100,47.1,73.1,Watch,68.5,41.4,No
202505,10,64.2,89.9,100,50.7,78.2,Watch,68.5,38.2,No
202506,10,55.8,87.6,100,51.1,75.4,Watch,68.5,39.9,No
202507,10,68.3,93.0,100,59.2,81.8,Healthy,68.5,35.8,No
202508,10,64.5,85.9,72.4,58.3,71.7,Watch,68.5,42.4,No
202509,10,67.0,86.7,100,65.9,80.9,Healthy,68.5,36.4,No
202510,10,65.9,88.0,55.2,64.8,69.6,Watch,68.5,43.7,No
202511,10,65.0,91.4,100,63.3,81.3,Healthy,68.5,36.1,No
202512,10,50.6,87.7,100,54.2,74.8,Watch,68.5,40.4,No
202601,10,47.5,88.5,100,56.6,74.8,Watch,68.5,40.4,No
202602,10,64.2,85.3,86.2,46.7,72.5,Watch,68.5,41.8,No
202603,10,50.4,88.4,100,45.0,73.1,Watch,68.5,41.5,No
202604,10,50.8,85.2,100,38.2,70.9,Watch,68.5,42.9,No
202605,10,62.3,88.4,100,36.8,74.5,Watch,68.5,40.6,No
202606,10,56.5,87.3,100,42.8,73.9,Watch,68.5,41.0,No
202607,10,56.7,90.6,100,47.8,75.9,Watch,68.5,39.6,No
202608,10,50.1,91.3,100,52.4,75.4,Watch,68.5,40.0,No
202609,10,62.5,86.9,100,54.0,77.5,Watch,68.5,38.6,No
202610,10,47.1,84.9,100,51.9,72.6,Watch,68.5,41.8,No
202611,10,67.0,91.1,100,54.7,80.0,Healthy,68.5,37.0,No
202612,10,48.4,85.0,100,48.1,72.2,Watch,68.5,42.0,No
202501,11,82.0,93.7,100,64.8,86.6,Healthy,79.5,36.6,No
202502,11,82.0,91.0,100,55.9,84.0,Healthy,79.5,38.2,No
202503,11,82.0,89.1,100,52.9,82.8,Healthy,79.5,39.0,No
202504,11,82.0,89.3,100,50.4,82.4,Healthy,79.5,39.3,No
202505,11,82.0,84.4,100,49.5,80.7,Healthy,79.5,40.4,No
202506,11,82.0,90.6,100,54.1,83.5,Healthy,79.5,38.6,No
202507,11,82.0,88.2,100,54.2,82.8,Healthy,79.5,39.0,No
202508,11,82.0,87.1,100,59.0,83.4,Healthy,79.5,38.6,No
202509,11,83.8,93.2,70.1,66.7,79.8,Watch,79.5,41.0,No
202510,11,86.1,91.6,100,63.5,86.7,Healthy,79.5,36.5,No
202511,11,92.6,91.1,100,64.5,88.4,Healthy,79.5,35.4,No
202512,11,86.5,85.8,100,55.3,83.4,Healthy,79.5,38.6,No
202601,11,78.5,92.4,100,55.8,83.5,Healthy,79.5,38.6,No
202602,11,83.9,86.8,100,41.5,80.3,Healthy,79.5,40.6,No
202603,11,91.5,84.1,100,41.6,81.4,Healthy,79.5,39.9,No
202604,11,82.6,89.5,100,37.7,80.0,Healthy,79.5,40.8,No
202605,11,91.6,91.6,100,37.2,82.8,Healthy,79.5,39.0,No
202606,11,92.3,91.7,100,37.9,83.2,Healthy,79.5,38.8,No
202607,11,82.1,90.7,100,42.9,81.3,Healthy,79.5,40.0,No
202608,11,91.0,84.7,100,49.7,83.1,Healthy,79.5,38.8,No
202609,11,79.7,84.9,100,54.3,81.3,Healthy,79.5,40.0,No
202610,11,83.5,92.5,100,47.0,83.0,Healthy,79.5,38.9,No
202611,11,77.3,92.8,100,53.8,82.9,Healthy,79.5,38.9,No
202612,11,77.5,86.9,100,48.7,80.2,Healthy,79.5,40.7,No
202501,12,89.1,98.4,100,96.1,96.0,Healthy,82.5,31.5,No
202502,12,88.9,95.4,90.8,82.9,90.1,Healthy,82.5,35.3,No
202503,12,84.5,98.2,100,78.8,91.3,Healthy,82.5,34.5,No
202504,12,93.1,99.1,100,85.8,95.2,Healthy,82.5,32.0,No
202505,12,89.9,100,100,78.5,93.2,Healthy,82.5,33.3,No
202506,12,79.5,97.2,100,85.4,91.1,Healthy,82.5,34.7,No
202507,12,84.3,100,100,90.0,94.1,Healthy,82.5,32.7,No
202508,12,80.1,99.8,100,98.5,94.7,Healthy,82.5,32.3,No
202509,12,82.8,100,100,99.3,95.5,Healthy,82.5,31.8,No
202510,12,78.6,94.4,100,99.3,92.8,Healthy,82.5,33.5,No
202511,12,90.6,100,100,92.2,96.1,Healthy,82.5,31.4,No
202512,12,92.5,100,100,88.9,95.9,Healthy,82.5,31.5,No
202601,12,82.6,94.4,95.4,85.1,89.8,Healthy,82.5,35.5,No
202602,12,80.9,98.6,100,80.7,90.9,Healthy,82.5,34.8,No
202603,12,80.3,95.9,100,72.4,88.3,Healthy,82.5,36.5,No
202604,12,88.0,98.1,100,66.0,89.6,Healthy,82.5,35.6,No
202605,12,88.8,100,86.2,74.8,88.7,Healthy,82.5,36.2,No
202606,12,91.8,95.2,100,67.6,90.0,Healthy,82.5,35.4,No
202607,12,84.1,94.2,100,75.2,89.3,Healthy,82.5,35.8,No
202608,12,92.4,100,100,84.5,95.0,Healthy,82.5,32.1,No
202609,12,82.1,98.1,100,79.1,90.8,Healthy,82.5,34.9,No
202610,12,80.5,94.2,100,81.3,89.6,Healthy,82.5,35.6,No
202611,12,91.2,95.3,100,83.4,93.1,Healthy,82.5,33.4,No
202612,12,84.5,100,100,75.0,91.1,Healthy,82.5,34.6,No
202501,13,89.3,93.8,100,92.2,93.9,Healthy,74.5,30.0,No
202502,13,86.5,99.5,100,85.9,93.7,Healthy,74.5,30.2,No
202503,13,91.6,98.6,100,77.9,93.1,Healthy,74.5,30.6,No
202504,13,79.3,100,100,81.8,91.2,Healthy,74.5,31.8,No
202505,13,81.7,96.0,100,77.1,89.6,Healthy,74.5,32.8,No
202506,13,82.4,94.5,100,85.1,91.0,Healthy,74.5,31.9,No
202507,13,80.7,100,100,85.3,92.2,Healthy,74.5,31.1,No
202508,13,82.2,99.6,86.2,90.1,90.0,Healthy,74.5,32.6,No
202509,13,77.3,99.5,100,92.1,92.6,Healthy,74.5,30.9,No
202510,13,88.1,97.8,100,98.2,96.0,Healthy,74.5,28.7,No
202511,13,80.2,94.7,100,92.4,91.9,Healthy,74.5,31.3,No
202512,13,91.8,100,100,88.2,95.6,Healthy,74.5,28.9,No
202601,13,78.7,92.1,100,83.8,89.1,Healthy,74.5,33.2,No
202602,13,89.0,94.9,100,73.3,90.4,Healthy,74.5,32.3,No
202603,13,92.0,92.4,100,71.9,90.1,Healthy,74.5,32.5,No
202604,13,77.8,92.1,100,67.7,85.6,Healthy,74.5,35.4,No
202605,13,91.5,98.0,100,69.7,91.2,Healthy,74.5,31.8,No
202606,13,85.2,95.1,100,67.9,88.4,Healthy,74.5,33.6,No
202607,13,79.4,93.8,100,71.8,87.4,Healthy,74.5,34.3,No
202608,13,87.0,96.4,100,81.9,92.1,Healthy,74.5,31.2,No
202609,13,88.9,98.6,79.3,80.4,87.7,Healthy,74.5,34.1,No
202610,13,89.5,99.5,100,83.0,93.8,Healthy,74.5,30.1,No
202611,13,77.4,99.9,100,78.0,89.9,Healthy,74.5,32.6,No
202612,13,91.6,98.9,86.2,72.5,88.6,Healthy,74.5,33.5,No
202501,14,82.0,98.0,100,96.1,94.1,Healthy,83.0,32.9,No
202502,14,82.0,100,100,82.9,92.1,Healthy,83.0,34.2,No
202503,14,82.0,97.5,100,78.8,90.5,Healthy,83.0,35.2,No
202504,14,82.0,96.5,100,85.8,91.6,Healthy,83.0,34.5,No
202505,14,82.0,94.6,100,78.5,89.6,Healthy,83.0,35.8,No
202506,14,82.0,93.1,100,85.4,90.5,Healthy,83.0,35.2,No
202507,14,82.0,93.4,100,90.0,91.5,Healthy,83.0,34.6,No
202508,14,90.5,95.3,100,98.5,95.9,Healthy,83.0,31.7,No
202509,14,90.8,97.6,100,99.3,96.8,Healthy,83.0,31.1,No
202510,14,80.3,93.4,100,99.3,93.0,Healthy,83.0,33.6,No
202511,14,77.5,93.5,100,92.2,90.9,Healthy,83.0,35.0,No
202512,14,88.1,96.4,100,88.9,93.7,Healthy,83.0,33.1,No
202601,14,84.1,94.4,100,85.1,91.4,Healthy,83.0,34.7,No
202602,14,85.1,100,81.6,80.7,87.8,Healthy,83.0,37.0,No
202603,14,81.6,97.3,100,72.4,89.1,Healthy,83.0,36.2,No
202604,14,85.1,93.0,100,66.0,87.4,Healthy,83.0,37.3,No
202605,14,81.7,100,100,74.8,90.4,Healthy,83.0,35.3,No
202606,14,90.9,95.9,100,67.6,90.0,Healthy,83.0,35.5,No
202607,14,83.3,93.0,100,75.2,88.8,Healthy,83.0,36.4,No
202608,14,89.2,94.1,100,84.5,92.5,Healthy,83.0,34.0,No
202609,14,89.6,96.2,100,79.1,92.1,Healthy,83.0,34.2,No
202610,14,90.9,94.2,100,81.3,92.2,Healthy,83.0,34.1,No
202611,14,91.8,96.8,100,83.4,93.7,Healthy,83.0,33.2,No
202612,14,84.9,99.7,100,75.0,91.2,Healthy,83.0,34.8,No
202501,15,82.0,93.4,100,92.2,92.0,Healthy,71.0,30.1,No
202502,15,82.0,97.7,100,85.9,92.0,Healthy,71.0,30.1,No
202503,15,50.7,97.4,100,77.9,82.5,Healthy,71.0,36.2,No
202504,15,47.2,96.4,46.0,81.8,68.6,Watch,71.0,45.3,No
202505,15,56.8,92.9,100,77.1,82.5,Healthy,71.0,36.2,No
202506,15,59.6,99.5,100,85.1,86.8,Healthy,71.0,33.5,No
202507,15,56.3,95.8,100,85.3,84.9,Healthy,71.0,34.7,No
202508,15,60.5,93.7,65.5,90.1,77.6,Watch,71.0,39.4,No
202509,15,56.7,94.3,100,92.1,85.9,Healthy,71.0,34.0,No
202510,15,55.3,95.3,100,98.2,87.0,Healthy,71.0,33.3,No
202511,15,61.8,95.9,100,92.4,87.7,Healthy,71.0,32.8,No
202512,15,54.9,95.2,100,88.2,84.9,Healthy,71.0,34.6,No
202601,15,60.0,92.5,72.4,83.8,77.6,Watch,71.0,39.4,No
202602,15,62.5,92.4,100,73.3,83.0,Healthy,71.0,35.9,No
202603,15,60.8,93.6,100,71.9,82.7,Healthy,71.0,36.1,No
202604,15,67.5,93.0,77.0,67.7,77.6,Watch,71.0,39.4,No
202605,15,62.9,96.3,100,69.7,83.5,Healthy,71.0,35.5,No
202606,15,64.7,94.0,100,67.9,83.0,Healthy,71.0,35.9,No
202607,15,59.4,91.8,100,71.8,81.8,Healthy,71.0,36.7,No
202608,15,61.3,94.2,100,81.9,85.0,Healthy,71.0,34.6,No
202609,15,63.2,96.7,100,80.4,85.9,Healthy,71.0,34.0,No
202610,15,65.8,98.5,100,83.0,87.6,Healthy,71.0,32.9,No
202611,15,64.2,97.9,100,78.0,86.0,Healthy,71.0,33.9,No
202612,15,65.0,98.9,65.5,72.5,76.8,Watch,71.0,39.9,No
202501,16,60.2,96.5,90.8,92.2,85.2,Healthy,79.0,37.3,No
202502,16,58.3,94.4,100,85.9,85.1,Healthy,79.0,37.3,No
202503,16,57.8,91.3,100,77.9,82.4,Healthy,79.0,39.1,No
202504,16,48.8,92.1,100,81.8,81.2,Healthy,79.0,39.9,No
202505,16,51.4,91.8,100,77.1,80.8,Healthy,79.0,40.1,No
