period_id,role_id,available_capacity_hours,planned_demand_hours,actual_allocated_hours,open_demand_hours,utilization_pct,demand_capacity_gap_hours,capacity_status
202601,5,4320,4240,4220,20,98.1,80,Watch
202601,6,3520,3270,3270,0,93.0,250,Watch
202601,7,2400,2620,2400,220,109.1,-220,Constrained
202601,8,1600,1830,1590,240,114.3,-230,Critical
202601,9,1280,1130,1130,0,88.6,150,Healthy
202601,10,1120,1240,1140,100,110.5,-120,Critical
202601,11,2080,1930,1930,0,92.7,150,Watch
202601,12,2240,2210,2210,0,98.7,30,Watch
202602,1,5280,5170,5170,0,97.9,110,Watch
202602,2,4480,4490,4490,0,100.2,-10,Constrained
202602,3,1920,2290,1860,420,119.2,-370,Critical
202602,4,2400,2730,2420,300,113.6,-330,Critical
202602,5,4000,4270,3990,280,106.7,-270,Constrained
202602,6,2400,2390,2390,0,99.6,10,Watch
202602,7,2560,2860,2630,230,111.6,-300,Critical
202602,8,1280,1540,1290,240,120.1,-260,Critical
202602,9,1760,1620,1620,0,92.0,140,Watch
202602,10,1600,1930,1580,350,120.4,-330,Critical
202602,11,2240,2150,2150,0,96.1,90,Watch
202602,12,2880,2930,2810,120,101.7,-50,Constrained
202603,1,3520,3640,3530,110,103.5,-120,Constrained
202603,2,3840,3970,3940,40,103.5,-130,Constrained
202603,3,2240,2620,2220,400,117.1,-380,Critical
202603,4,2240,2650,2210,450,118.4,-410,Critical
202603,5,4320,4380,4220,160,101.4,-60,Constrained
202603,6,2880,2830,2830,0,98.4,50,Watch
202603,7,2560,2910,2580,330,113.6,-350,Critical
202603,8,1440,1690,1470,220,117.4,-250,Critical
202603,9,1120,1040,1040,0,93.0,80,Watch
202603,10,1120,1340,1130,210,119.2,-220,Critical
202603,11,2240,2190,2160,20,97.6,50,Watch
202603,12,1920,1970,1970,0,102.6,-50,Constrained
202604,1,5440,5730,5230,500,105.3,-290,Constrained
202604,2,4640,4880,4720,160,105.2,-240,Constrained
202604,3,1120,1300,1090,210,116.0,-180,Critical
202604,4,1440,1740,1410,330,120.8,-300,Critical
202604,5,4640,4910,4580,340,105.9,-270,Constrained
202604,6,3360,3270,3270,0,97.3,90,Watch
202604,7,2880,3510,2880,630,121.7,-630,Critical
202604,8,2400,2880,2410,470,119.9,-480,Critical
202604,9,2240,2210,2210,0,98.5,30,Watch
202604,10,2400,2940,2390,560,122.7,-540,Critical
202604,11,1920,1960,1900,60,101.9,-40,Constrained
202604,12,2400,2550,2410,140,106.3,-150,Constrained
202605,1,4480,4450,4360,90,99.3,30,Watch
202605,2,3200,3390,3200,190,105.9,-190,Constrained
202605,3,1280,1530,1310,220,119.5,-250,Critical
202605,4,1600,1890,1600,290,117.9,-290,Critical
202605,5,4320,4570,4350,220,105.7,-250,Constrained
202605,6,2080,2070,2040,30,99.5,10,Watch
202605,7,2240,2670,2280,390,119.3,-430,Critical
202605,8,1920,2440,1900,540,127.2,-520,Critical
202605,9,1120,1120,1120,0,99.7,0,Watch
202605,10,2240,2660,2240,420,118.6,-420,Critical
202605,11,2240,2160,2160,0,96.2,80,Watch
202605,12,2880,3090,2960,130,107.2,-210,Constrained
202606,1,4320,4480,4200,280,103.7,-160,Constrained
202606,2,4480,4720,4580,140,105.3,-240,Constrained
202606,3,1760,1990,1760,230,113.0,-230,Critical
202606,4,1920,2230,1940,280,115.9,-310,Critical
202606,5,5440,5650,5590,60,103.9,-210,Constrained
202606,6,2880,2900,2850,50,100.5,-20,Constrained
202606,7,2720,3070,2770,300,112.9,-350,Critical
202606,8,2240,2820,2290,530,125.7,-580,Critical
202606,9,1120,1100,1100,0,98.4,20,Watch
202606,10,2400,2910,2410,500,121.1,-510,Critical
202606,11,1440,1460,1420,40,101.5,-20,Constrained
202606,12,2720,2780,2680,100,102.1,-60,Constrained
202607,1,4160,4100,4100,0,98.5,60,Watch
202607,2,4640,4770,4500,270,102.9,-130,Constrained
202607,3,1920,2160,1850,310,112.7,-240,Critical
202607,4,1760,2090,1800,300,118.8,-330,Critical
202607,5,3840,4040,3810,220,105.1,-200,Constrained
202607,6,1920,1930,1930,0,100.4,-10,Constrained
202607,7,3200,3600,3140,450,112.4,-400,Critical
202607,8,1600,1980,1560,410,123.5,-380,Critical
202607,9,1440,1420,1420,0,98.4,20,Watch
202607,10,1600,1930,1570,360,120.4,-330,Critical
202607,11,1440,1430,1400,30,99.5,10,Watch
202607,12,2080,2190,2070,120,105.3,-110,Constrained
202608,1,4000,3720,3720,0,93.0,280,Watch
202608,2,3680,3760,3670,90,102.1,-80,Constrained
202608,3,1280,1470,1310,160,114.5,-190,Critical
202608,4,2400,2830,2410,420,118.0,-430,Critical
202608,5,3840,3810,3810,0,99.2,30,Watch
202608,6,2880,2760,2760,0,95.9,120,Watch
202608,7,2560,2790,2520,270,109.0,-230,Constrained
202608,8,2240,2750,2260,500,122.8,-510,Critical
202608,9,1760,1660,1660,0,94.3,100,Watch
202608,10,2240,2540,2230,310,113.5,-300,Critical
202608,11,2240,2110,2110,0,94.3,130,Watch
202608,12,1920,2010,1890,120,104.8,-90,Constrained
202609,1,3680,3560,3560,0,96.7,120,Watch
202609,2,3840,3950,3800,150,102.9,-110,Constrained
202609,3,2240,2530,2210,320,112.8,-290,Critical
202609,4,1920,2150,1930,220,112.0,-230,Critical
202609,5,4160,4270,4260,10,102.5,-110,Constrained
202609,6,2400,2170,2170,0,90.5,230,Watch
202609,7,2720,3080,2740,340,113.3,-360,Critical
202609,8,1920,2180,1920,260,113.8,-260,Critical
202609,9,1920,1760,1760,0,91.5,160,Watch
202609,10,2080,2350,2110,240,112.9,-270,Critical
202609,11,1440,1390,1390,0,96.5,50,Watch
202609,12,2240,2200,2200,0,98.4,40,Watch
202610,1,4160,4160,4020,140,100.0,0,Constrained
202610,2,4800,4630,4630,0,96.5,170,Watch
202610,3,1760,2060,1770,290,116.9,-300,Critical
202610,4,1600,1870,1560,310,116.7,-270,Critical
202610,5,4320,4220,4220,0,97.8,100,Watch
202610,6,3040,2860,2860,0,94.1,180,Watch
202610,7,2400,2640,2470,170,109.9,-240,Constrained
202610,8,1760,1990,1700,300,113.3,-230,Critical
202610,9,2080,1830,1830,0,87.8,250,Healthy
202610,10,2080,2460,2010,450,118.1,-380,Critical
202610,11,1280,1240,1240,0,97.0,40,Watch
202610,12,2560,2630,2550,80,102.8,-70,Constrained
202611,1,4160,3940,3940,0,94.6,220,Watch
202611,2,4800,4830,4830,0,100.7,-30,Constrained
202611,3,2080,2280,2060,230,109.8,-200,Constrained
202611,4,2080,2370,2040,330,114.0,-290,Critical
202611,5,4480,4580,4320,260,102.2,-100,Constrained
202611,6,2080,2060,2060,0,99.2,20,Watch
202611,7,2400,2790,2410,380,116.3,-390,Critical
202611,8,2240,2570,2300,270,114.8,-330,Critical
202611,9,1760,1620,1620,0,91.8,140,Watch
202611,10,1760,2070,1770,300,117.7,-310,Critical
202611,11,1440,1370,1370,0,95.5,70,Watch
202611,12,1920,2000,1950,40,104.1,-80,Constrained
202612,1,4000,3880,3880,0,97.0,120,Watch
202612,2,4640,4820,4530,290,104.0,-180,Constrained
202612,3,1120,1310,1120,190,116.8,-190,Critical
202612,4,1120,1330,1130,200,118.7,-210,Critical
202612,5,5280,5520,5350,170,104.5,-240,Constrained
202612,6,3040,3050,3050,0,100.3,-10,Constrained
202612,7,3520,4090,3540,560,116.3,-570,Critical
202612,8,1920,2230,1870,360,116.3,-310,Critical
202612,9,2240,2020,2020,0,90.3,220,Watch
202612,10,1920,2210,1920,290,115.3,-290,Critical
202612,11,1440,1440,1440,0,100.2,0,Constrained
202612,12,2240,2280,2270,10,101.7,-40,Constrained
